"cod","country","second","pop_risk","pop_tot","incid"
"SPM-4867","Saint Pierre and Miquelon","Miquelon-Langlade",0,6.60504127332492,0
"SUR-37","Suriname","Nickerie",300.912540015035,300.912540015035,1
"SUR-66","Suriname","Brokopondo",149.28953044484,149.28953044484,1
"SUR-67","Suriname","Marowijne",204.031932765415,204.031932765415,1
"SUR-68","Suriname","Para",408.171966063516,408.171966063516,1
"SUR-69","Suriname","Sipaliwini",419.026799094907,433.792569671677,0.965961218312372
"SUR-70","Suriname","Commewijne",669.394931641472,669.394931641472,1
"SUR-71","Suriname","Coronie",160.663247908692,160.663247908692,1
"SUR-72","Suriname","Paramaribo",1671.16961240608,1671.16961240608,1
"SUR-73","Suriname","Saramacca",345.100611956864,345.100611956864,1
"SUR-74","Suriname","Wanica",1465.47485641582,1465.47485641582,1
"TCA-5003","Turks and Caicos Islands","Middle Caicos",0.576243608462602,0.576243608462602,1
"TCA-5004","Turks and Caicos Islands","North Caicos",3.71069972590556,3.71069972590556,1
"TCA-5005","Turks and Caicos Islands","Providenciales and West Caicos",0,0,0
"TCA-5006","Turks and Caicos Islands","South Caicos and East Caicos",0,0,0
"TTO-50","Trinidad and Tobago","Eastern Tobago",54.5175582931172,54.5175582931172,1
"TTO-5090","Trinidad and Tobago","Western Tobago",456.142460275569,456.142460275569,1
"TTO-51","Trinidad and Tobago","Diego Martin",1103.64937271405,1103.64937271405,1
"TTO-52","Trinidad and Tobago","Siparia",1357.87951236995,1357.87951236995,1
"TTO-53","Trinidad and Tobago","Arima",847.728235006262,847.728235006262,1
"TTO-54","Trinidad and Tobago","Sangre Grande",1084.16797860886,1084.16797860886,1
"TTO-55","Trinidad and Tobago","Rio Claro-Mayaro",374.539206944833,374.539206944833,1
"TTO-56","Trinidad and Tobago","San Juan-Laventille",2039.04733572597,2039.04733572597,1
"TTO-57","Trinidad and Tobago","Princes Town",1077.64506132706,1077.64506132706,1
"TTO-58","Trinidad and Tobago","Couva-Tabaquite-Talparo",2682.77587673074,2682.77587673074,1
"TTO-59","Trinidad and Tobago","Penal-Debe",785.521532650551,785.521532650551,1
"TTO-60","Trinidad and Tobago","Point Fortin",0,0,0
"TTO-61","Trinidad and Tobago","Tunapuna/Piarco",946.824728346932,946.824728346932,1
"TTO-62","Trinidad and Tobago","San Fernando",889.805750329465,889.805750329465,1
"TTO-63","Trinidad and Tobago","Chaguanas",0,0,0
"TTO-64","Trinidad and Tobago","Port of Spain",0,0,0
"URY-10","Uruguay","Salto",1492.15533133782,1492.15533133782,1
"URY-11","Uruguay","Soriano",928.256460233539,928.256460233539,1
"URY-12","Uruguay","Cerro Largo",981.964471600158,981.964471600158,1
"URY-13","Uruguay","Durazno",601.745536871263,601.745536871263,1
"URY-14","Uruguay","Rivera",1114.67808984664,1114.67808984664,1
"URY-15","Uruguay","Tacuarembó",798.299024461139,798.299024461139,1
"URY-16","Uruguay","Treinta y Tres",550.504862857624,550.504862857624,1
"URY-17","Uruguay","Canelones",4803.66038051952,5598.47748914204,0.858029775030082
"URY-18","Uruguay","Florida",670.127233021865,670.127233021865,1
"URY-19","Uruguay","Lavalleja",487.336577378307,487.336577378307,1
"URY-20","Uruguay","Maldonado",971.012279659227,2268.19242352131,0.428099604596931
"URY-21","Uruguay","Montevideo",1377.48088532975,9448.09332045706,0.145794589300597
"URY-22","Uruguay","Rocha",629.385170565565,629.385170565565,1
"URY-4","Uruguay","Colonia",1117.16254453878,1117.16254453878,1
"URY-5","Uruguay","San José",1191.94881227661,1191.94881227661,1
"URY-6","Uruguay","Artigas",680.043707443494,680.043707443494,1
"URY-7","Uruguay","Flores",255.271570795356,255.271570795356,1
"URY-8","Uruguay","Paysandú",831.984110583935,831.984110583935,1
"URY-9","Uruguay","Río Negro",301.764762567453,301.764762567453,1
"USA-3513","United States of America","Massachusetts",0,66112.9872208818,0
"USA-3514","United States of America","Minnesota",0,59168.5061056487,0
"USA-3515","United States of America","Montana",0,10771.9304746757,0
"USA-3516","United States of America","North Dakota",0,6628.44231573385,0
"USA-3517","United States of America","Hawaii",163.434257069344,15331.8868896046,0.0106597614661609
"USA-3518","United States of America","Idaho",0,20031.1641644419,0
"USA-3519","United States of America","Washington",0,74313.9376333021,0
"USA-3520","United States of America","Arizona",0,81384.4529937334,0
"USA-3521","United States of America","California",47074.117779275,406716.161041454,0.115741940666275
"USA-3522","United States of America","Colorado",0,60709.5044498021,0
"USA-3523","United States of America","Nevada",0,37597.0113802217,0
"USA-3524","United States of America","New Mexico",0,23310.0875424204,0
"USA-3525","United States of America","Oregon",0,43237.3216091313,0
"USA-3526","United States of America","Utah",0,33892.7593193861,0
"USA-3527","United States of America","Wyoming",0,6472.31042538417,0
"USA-3528","United States of America","Arkansas",0,32522.9019003434,0
"USA-3529","United States of America","Iowa",0,32174.9770992652,0
"USA-3530","United States of America","Kansas",0,28464.6452026758,0
"USA-3531","United States of America","Missouri",0,64709.5064604261,0
"USA-3532","United States of America","Nebraska",0,20211.5363234547,0
"USA-3533","United States of America","Oklahoma",0,41077.4974803077,0
"USA-3534","United States of America","South Dakota",0,8705.69416897597,0
"USA-3535","United States of America","Louisiana",0,47359.4461529889,0
"USA-3536","United States of America","Texas",0,308845.996078519,0
"USA-3537","United States of America","Connecticut",0,35903.1667006766,0
"USA-3538","United States of America","New Hampshire",0,14395.8674455502,0
"USA-3539","United States of America","Rhode Island",0,9699.54050013807,0
"USA-3540","United States of America","Vermont",0,6476.94314190055,0
"USA-3541","United States of America","Alabama",0,51670.3396641201,0
"USA-3542","United States of America","Florida",6803.37106757488,213530.173269563,0.0318614037697905
"USA-3543","United States of America","Georgia",0,117076.334754775,0
"USA-3544","United States of America","Mississippi",0,32166.7131197468,0
"USA-3545","United States of America","South Carolina",0,54499.7428961436,0
"USA-3546","United States of America","Illinois",0,151092.047008996,0
"USA-3547","United States of America","Indiana",0,69424.8272652429,0
"USA-3548","United States of America","Kentucky",0,45833.2685436297,0
"USA-3549","United States of America","North Carolina",0,111696.898061908,0
"USA-3550","United States of America","Ohio",0,126767.277869366,0
